year,state,month,date,number
2016,Distrito Federal,Março,01/01/2016,1
2017,Distrito Federal,Março,01/01/2017,0
1998,Distrito Federal,Abril,01/01/1998,0
1999,Distrito Federal,Abril,01/01/1999,0
2000,Distrito Federal,Abril,01/01/2000,0
2001,Distrito Federal,Abril,01/01/2001,0
2002,Distrito Federal,Abril,01/01/2002,1
2003,Distrito Federal,Abril,01/01/2003,0
2004,Distrito Federal,Abril,01/01/2004,1
2005,Distrito Federal,Abril,01/01/2005,0
2006,Distrito Federal,Abril,01/01/2006,0
2007,Distrito Federal,Abril,01/01/2007,0
2008,Distrito Federal,Abril,01/01/2008,1
2009,Distrito Federal,Abril,01/01/2009,0
2010,Distrito Federal,Abril,01/01/2010,8
2011,Distrito Federal,Abril,01/01/2011,1
2012,Distrito Federal,Abril,01/01/2012,4
2013,Distrito Federal,Abril,01/01/2013,1
2014,Distrito Federal,Abril,01/01/2014,2
2015,Distrito Federal,Abril,01/01/2015,0
2016,Distrito Federal,Abril,01/01/2016,5
2017,Distrito Federal,Abril,01/01/2017,1
1998,Distrito Federal,Maio,01/01/1998,0
1999,Distrito Federal,Maio,01/01/1999,0
2000,Distrito Federal,Maio,01/01/2000,2
2001,Distrito Federal,Maio,01/01/2001,0
2002,Distrito Federal,Maio,01/01/2002,1
2003,Distrito Federal,Maio,01/01/2003,0
2004,Distrito Federal,Maio,01/01/2004,9
2005,Distrito Federal,Maio,01/01/2005,2
2006,Distrito Federal,Maio,01/01/2006,3
2007,Distrito Federal,Maio,01/01/2007,4
2008,Distrito Federal,Maio,01/01/2008,6
2009,Distrito Federal,Maio,01/01/2009,9
2010,Distrito Federal,Maio,01/01/2010,23
2011,Distrito Federal,Maio,01/01/2011,3
2012,Distrito Federal,Maio,01/01/2012,0
2013,Distrito Federal,Maio,01/01/2013,2
2014,Distrito Federal,Maio,01/01/2014,9
2015,Distrito Federal,Maio,01/01/2015,2
2016,Distrito Federal,Maio,01/01/2016,15
2017,Distrito Federal,Maio,01/01/2017,6
1998,Distrito Federal,Junho,01/01/1998,2
1999,Distrito Federal,Junho,01/01/1999,3
2000,Distrito Federal,Junho,01/01/2000,1
2001,Distrito Federal,Junho,01/01/2001,3
2002,Distrito Federal,Junho,01/01/2002,7
2003,Distrito Federal,Junho,01/01/2003,11
2004,Distrito Federal,Junho,01/01/2004,6
2005,Distrito Federal,Junho,01/01/2005,3
2006,Distrito Federal,Junho,01/01/2006,2
2007,Distrito Federal,Junho,01/01/2007,21
2008,Distrito Federal,Junho,01/01/2008,0
2009,Distrito Federal,Junho,01/01/2009,4
2010,Distrito Federal,Junho,01/01/2010,21
2011,Distrito Federal,Junho,01/01/2011,18
2012,Distrito Federal,Junho,01/01/2012,6
2013,Distrito Federal,Junho,01/01/2013,4
2014,Distrito Federal,Junho,01/01/2014,6
2015,Distrito Federal,Junho,01/01/2015,1
2016,Distrito Federal,Junho,01/01/2016,42
2017,Distrito Federal,Junho,01/01/2017,23
1998,Distrito Federal,Julho,01/01/1998,17
1999,Distrito Federal,Julho,01/01/1999,4
2000,Distrito Federal,Julho,01/01/2000,15
2001,Distrito Federal,Julho,01/01/2001,22
2002,Distrito Federal,Julho,01/01/2002,33
2003,Distrito Federal,Julho,01/01/2003,19
2004,Distrito Federal,Julho,01/01/2004,37
2005,Distrito Federal,Julho,01/01/2005,24
2006,Distrito Federal,Julho,01/01/2006,10
2007,Distrito Federal,Julho,01/01/2007,25
2008,Distrito Federal,Julho,01/01/2008,12
2009,Distrito Federal,Julho,01/01/2009,33
2010,Distrito Federal,Julho,01/01/2010,85
2011,Distrito Federal,Julho,01/01/2011,53
2012,Distrito Federal,Julho,01/01/2012,29
2013,Distrito Federal,Julho,01/01/2013,22
2014,Distrito Federal,Julho,01/01/2014,27
2015,Distrito Federal,Julho,01/01/2015,15
2016,Distrito Federal,Julho,01/01/2016,79
2017,Distrito Federal,Julho,01/01/2017,44
1998,Distrito Federal,Agosto,01/01/1998,48
1999,Distrito Federal,Agosto,01/01/1999,16
2000,Distrito Federal,Agosto,01/01/2000,9
2001,Distrito Federal,Agosto,01/01/2001,25
2002,Distrito Federal,Agosto,01/01/2002,53
2003,Distrito Federal,Agosto,01/01/2003,36
2004,Distrito Federal,Agosto,01/01/2004,108
2005,Distrito Federal,Agosto,01/01/2005,20
2006,Distrito Federal,Agosto,01/01/2006,40
2007,Distrito Federal,Agosto,01/01/2007,137
2008,Distrito Federal,Agosto,01/01/2008,30
2009,Distrito Federal,Agosto,01/01/2009,37
2010,Distrito Federal,Agosto,01/01/2010,159
2011,Distrito Federal,Agosto,01/01/2011,61
2012,Distrito Federal,Agosto,01/01/2012,55
2013,Distrito Federal,Agosto,01/01/2013,34
2014,Distrito Federal,Agosto,01/01/2014,99
2015,Distrito Federal,Agosto,01/01/2015,53
2016,Distrito Federal,Agosto,01/01/2016,29
2017,Distrito Federal,Agosto,01/01/2017,147
1998,Distrito Federal,Setembro,01/01/1998,33
1999,Distrito Federal,Setembro,01/01/1999,12
2000,Distrito Federal,Setembro,01/01/2000,3
2001,Distrito Federal,Setembro,01/01/2001,12
2002,Distrito Federal,Setembro,01/01/2002,33
2003,Distrito Federal,Setembro,01/01/2003,17
2004,Distrito Federal,Setembro,01/01/2004,100
2005,Distrito Federal,Setembro,01/01/2005,23
2006,Distrito Federal,Setembro,01/01/2006,20
2007,Distrito Federal,Setembro,01/01/2007,73
2008,Distrito Federal,Setembro,01/01/2008,54
2009,Distrito Federal,Setembro,01/01/2009,5
2010,Distrito Federal,Setembro,01/01/2010,196
2011,Distrito Federal,Setembro,01/01/2011,133
2012,Distrito Federal,Setembro,01/01/2012,64
2013,Distrito Federal,Setembro,01/01/2013,31
2014,Distrito Federal,Setembro,01/01/2014,72
2015,Distrito Federal,Setembro,01/01/2015,76
2016,Distrito Federal,Setembro,01/01/2016,58
2017,Distrito Federal,Setembro,01/01/2017,122
1998,Distrito Federal,Outubro,01/01/1998,3
1999,Distrito Federal,Outubro,01/01/1999,8
2000,Distrito Federal,Outubro,01/01/2000,18
2001,Distrito Federal,Outubro,01/01/2001,0
2002,Distrito Federal,Outubro,01/01/2002,19
2003,Distrito Federal,Outubro,01/01/2003,12
2004,Distrito Federal,Outubro,01/01/2004,18
2005,Distrito Federal,Outubro,01/01/2005,18
2006,Distrito Federal,Outubro,01/01/2006,1
2007,Distrito Federal,Outubro,01/01/2007,13
2008,Distrito Federal,Outubro,01/01/2008,6
2009,Distrito Federal,Outubro,01/01/2009,3
2010,Distrito Federal,Outubro,01/01/2010,6
2011,Distrito Federal,Outubro,01/01/2011,0
2012,Distrito Federal,Outubro,01/01/2012,15
2013,Distrito Federal,Outubro,01/01/2013,3
2014,Distrito Federal,Outubro,01/01/2014,34
2015,Distrito Federal,Outubro,01/01/2015,21
2016,Distrito Federal,Outubro,01/01/2016,9
2017,Distrito Federal,Outubro,01/01/2017,66
1998,Distrito Federal,Novembro,01/01/1998,0
1999,Distrito Federal,Novembro,01/01/1999,1
2000,Distrito Federal,Novembro,01/01/2000,0
2001,Distrito Federal,Novembro,01/01/2001,0
2002,Distrito Federal,Novembro,01/01/2002,1
2003,Distrito Federal,Novembro,01/01/2003,0
2004,Distrito Federal,Novembro,01/01/2004,0
2005,Distrito Federal,Novembro,01/01/2005,2
2006,Distrito Federal,Novembro,01/01/2006,0
2007,Distrito Federal,Novembro,01/01/2007,0
2008,Distrito Federal,Novembro,01/01/2008,4
2009,Distrito Federal,Novembro,01/01/2009,0
2010,Distrito Federal,Novembro,01/01/2010,0
2011,Distrito Federal,Novembro,01/01/2011,1
2012,Distrito Federal,Novembro,01/01/2012,0
2013,Distrito Federal,Novembro,01/01/2013,0
2014,Distrito Federal,Novembro,01/01/2014,0
2015,Distrito Federal,Novembro,01/01/2015,3
2016,Distrito Federal,Novembro,01/01/2016,1
2017,Distrito Federal,Novembro,01/01/2017,0
1998,Distrito Federal,Dezembro,01/01/1998,0
1999,Distrito Federal,Dezembro,01/01/1999,0
2000,Distrito Federal,Dezembro,01/01/2000,0
2001,Distrito Federal,Dezembro,01/01/2001,1
2002,Distrito Federal,Dezembro,01/01/2002,1
2003,Distrito Federal,Dezembro,01/01/2003,0
2004,Distrito Federal,Dezembro,01/01/2004,0
2005,Distrito Federal,Dezembro,01/01/2005,0
2006,Distrito Federal,Dezembro,01/01/2006,0
2007,Distrito Federal,Dezembro,01/01/2007,0
2008,Distrito Federal,Dezembro,01/01/2008,0
2009,Distrito Federal,Dezembro,01/01/2009,0
2010,Distrito Federal,Dezembro,01/01/2010,1
2011,Distrito Federal,Dezembro,01/01/2011,0
2012,Distrito Federal,Dezembro,01/01/2012,0
2013,Distrito Federal,Dezembro,01/01/2013,2
2014,Distrito Federal,Dezembro,01/01/2014,0
2015,Distrito Federal,Dezembro,01/01/2015,0
2016,Distrito Federal,Dezembro,01/01/2016,0
1998,Espirito Santo,Janeiro,01/01/1998,0
1999,Espirito Santo,Janeiro,01/01/1999,33
2000,Espirito Santo,Janeiro,01/01/2000,5
2001,Espirito Santo,Janeiro,01/01/2001,1
2002,Espirito Santo,Janeiro,01/01/2002,2
2003,Espirito Santo,Janeiro,01/01/2003,4
2004,Espirito Santo,Janeiro,01/01/2004,1
2005,Espirito Santo,Janeiro,01/01/2005,4
2006,Espirito Santo,Janeiro,01/01/2006,13
2007,Espirito Santo,Janeiro,01/01/2007,0
2008,Espirito Santo,Janeiro,01/01/2008,12
2009,Espirito Santo,Janeiro,01/01/2009,4
2010,Espirito Santo,Janeiro,01/01/2010,52
2011,Espirito Santo,Janeiro,01/01/2011,3
2012,Espirito Santo,Janeiro,01/01/2012,1
2013,Espirito Santo,Janeiro,01/01/2013,10
2014,Espirito Santo,Janeiro,01/01/2014,11
2015,Espirito Santo,Janeiro,01/01/2015,76
2016,Espirito Santo,Janeiro,01/01/2016,43
2017,Espirito Santo,Janeiro,01/01/2017,13
1998,Espirito Santo,Fevereiro,01/01/1998,0
1999,Espirito Santo,Fevereiro,01/01/1999,10
2000,Espirito Santo,Fevereiro,01/01/2000,5
2001,Espirito Santo,Fevereiro,01/01/2001,5
2002,Espirito Santo,Fevereiro,01/01/2002,4
2003,Espirito Santo,Fevereiro,01/01/2003,11
2004,Espirito Santo,Fevereiro,01/01/2004,5
2005,Espirito Santo,Fevereiro,01/01/2005,1
2006,Espirito Santo,Fevereiro,01/01/2006,45
2007,Espirito Santo,Fevereiro,01/01/2007,3
2008,Espirito Santo,Fevereiro,01/01/2008,20
2009,Espirito Santo,Fevereiro,01/01/2009,12
2010,Espirito Santo,Fevereiro,01/01/2010,15
2011,Espirito Santo,Fevereiro,01/01/2011,42
2012,Espirito Santo,Fevereiro,01/01/2012,25
2013,Espirito Santo,Fevereiro,01/01/2013,15
2014,Espirito Santo,Fevereiro,01/01/2014,17
2015,Espirito Santo,Fevereiro,01/01/2015,60
2016,Espirito Santo,Fevereiro,01/01/2016,24
2017,Espirito Santo,Fevereiro,01/01/2017,8
1998,Espirito Santo,Março,01/01/1998,0
1999,Espirito Santo,Março,01/01/1999,8
2000,Espirito Santo,Março,01/01/2000,1
2001,Espirito Santo,Março,01/01/2001,2
2002,Espirito Santo,Março,01/01/2002,4
2003,Espirito Santo,Março,01/01/2003,28
2004,Espirito Santo,Março,01/01/2004,3
2005,Espirito Santo,Março,01/01/2005,3
2006,Espirito Santo,Março,01/01/2006,14
2007,Espirito Santo,Março,01/01/2007,9
2008,Espirito Santo,Março,01/01/2008,5
2009,Espirito Santo,Março,01/01/2009,11
2010,Espirito Santo,Março,01/01/2010,3
2011,Espirito Santo,Março,01/01/2011,5
2012,Espirito Santo,Março,01/01/2012,35
2013,Espirito Santo,Março,01/01/2013,13
2014,Espirito Santo,Março,01/01/2014,15
2015,Espirito Santo,Março,01/01/2015,25
2016,Espirito Santo,Março,01/01/2016,107
2017,Espirito Santo,Março,01/01/2017,9
1998,Espirito Santo,Abril,01/01/1998,0
1999,Espirito Santo,Abril,01/01/1999,2
2000,Espirito Santo,Abril,01/01/2000,3
2001,Espirito Santo,Abril,01/01/2001,2
2002,Espirito Santo,Abril,01/01/2002,2
2003,Espirito Santo,Abril,01/01/2003,22
2004,Espirito Santo,Abril,01/01/2004,0
2005,Espirito Santo,Abril,01/01/2005,4
2006,Espirito Santo,Abril,01/01/2006,1
2007,Espirito Santo,Abril,01/01/2007,2
2008,Espirito Santo,Abril,01/01/2008,8
2009,Espirito Santo,Abril,01/01/2009,8
2010,Espirito Santo,Abril,01/01/2010,7
2011,Espirito Santo,Abril,01/01/2011,3
2012,Espirito Santo,Abril,01/01/2012,74
2013,Espirito Santo,Abril,01/01/2013,16
2014,Espirito Santo,Abril,01/01/2014,15
2015,Espirito Santo,Abril,01/01/2015,33
2016,Espirito Santo,Abril,01/01/2016,57
2017,Espirito Santo,Abril,01/01/2017,7
1998,Espirito Santo,Maio,01/01/1998,0
1999,Espirito Santo,Maio,01/01/1999,16
2000,Espirito Santo,Maio,01/01/2000,2
2001,Espirito Santo,Maio,01/01/2001,8
2002,Espirito Santo,Maio,01/01/2002,5
2003,Espirito Santo,Maio,01/01/2003,1
2004,Espirito Santo,Maio,01/01/2004,0
2005,Espirito Santo,Maio,01/01/2005,5
2006,Espirito Santo,Maio,01/01/2006,0
2007,Espirito Santo,Maio,01/01/2007,1
2008,Espirito Santo,Maio,01/01/2008,2
2009,Espirito Santo,Maio,01/01/2009,7
2010,Espirito Santo,Maio,01/01/2010,3
2011,Espirito Santo,Maio,01/01/2011,2
2012,Espirito Santo,Maio,01/01/2012,20
2013,Espirito Santo,Maio,01/01/2013,14
2014,Espirito Santo,Maio,01/01/2014,18
2015,Espirito Santo,Maio,01/01/2015,17
2016,Espirito Santo,Maio,01/01/2016,48
2017,Espirito Santo,Maio,01/01/2017,10
1998,Espirito Santo,Junho,01/01/1998,6
1999,Espirito Santo,Junho,01/01/1999,6
2000,Espirito Santo,Junho,01/01/2000,9
2001,Espirito Santo,Junho,01/01/2001,9
2002,Espirito Santo,Junho,01/01/2002,18
2003,Espirito Santo,Junho,01/01/2003,19
2004,Espirito Santo,Junho,01/01/2004,3
2005,Espirito Santo,Junho,01/01/2005,8
2006,Espirito Santo,Junho,01/01/2006,5
2007,Espirito Santo,Junho,01/01/2007,4
2008,Espirito Santo,Junho,01/01/2008,4
2009,Espirito Santo,Junho,01/01/2009,12
2010,Espirito Santo,Junho,01/01/2010,3
2011,Espirito Santo,Junho,01/01/2011,7
2012,Espirito Santo,Junho,01/01/2012,15
2013,Espirito Santo,Junho,01/01/2013,22
2014,Espirito Santo,Junho,01/01/2014,9
2015,Espirito Santo,Junho,01/01/2015,18
2016,Espirito Santo,Junho,01/01/2016,49
2017,Espirito Santo,Junho,01/01/2017,37
1998,Espirito Santo,Julho,01/01/1998,37
1999,Espirito Santo,Julho,01/01/1999,9
2000,Espirito Santo,Julho,01/01/2000,16
2001,Espirito Santo,Julho,01/01/2001,12
2002,Espirito Santo,Julho,01/01/2002,9
2003,Espirito Santo,Julho,01/01/2003,27
2004,Espirito Santo,Julho,01/01/2004,4
2005,Espirito Santo,Julho,01/01/2005,9
2006,Espirito Santo,Julho,01/01/2006,11
2007,Espirito Santo,Julho,01/01/2007,13
2008,Espirito Santo,Julho,01/01/2008,5
2009,Espirito Santo,Julho,01/01/2009,25
2010,Espirito Santo,Julho,01/01/2010,5
2011,Espirito Santo,Julho,01/01/2011,18
2012,Espirito Santo,Julho,01/01/2012,35
2013,Espirito Santo,Julho,01/01/2013,20
2014,Espirito Santo,Julho,01/01/2014,17
2015,Espirito Santo,Julho,01/01/2015,30
2016,Espirito Santo,Julho,01/01/2016,42
2017,Espirito Santo,Julho,01/01/2017,3
1998,Espirito Santo,Agosto,01/01/1998,38
1999,Espirito Santo,Agosto,01/01/1999,60
2000,Espirito Santo,Agosto,01/01/2000,26
2001,Espirito Santo,Agosto,01/01/2001,30
2002,Espirito Santo,Agosto,01/01/2002,60
2003,Espirito Santo,Agosto,01/01/2003,118
2004,Espirito Santo,Agosto,01/01/2004,12
2005,Espirito Santo,Agosto,01/01/2005,12
2006,Espirito Santo,Agosto,01/01/2006,29
2007,Espirito Santo,Agosto,01/01/2007,82
2008,Espirito Santo,Agosto,01/01/2008,13
2009,Espirito Santo,Agosto,01/01/2009,17
2010,Espirito Santo,Agosto,01/01/2010,39
2011,Espirito Santo,Agosto,01/01/2011,93
2012,Espirito Santo,Agosto,01/01/2012,12
2013,Espirito Santo,Agosto,01/01/2013,53
2014,Espirito Santo,Agosto,01/01/2014,47
2015,Espirito Santo,Agosto,01/01/2015,35
2016,Espirito Santo,Agosto,01/01/2016,78
2017,Espirito Santo,Agosto,01/01/2017,30
1998,Espirito Santo,Setembro,01/01/1998,108
1999,Espirito Santo,Setembro,01/01/1999,64
2000,Espirito Santo,Setembro,01/01/2000,14
2001,Espirito Santo,Setembro,01/01/2001,38
2002,Espirito Santo,Setembro,01/01/2002,46
2003,Espirito Santo,Setembro,01/01/2003,252
2004,Espirito Santo,Setembro,01/01/2004,47
2005,Espirito Santo,Setembro,01/01/2005,8
2006,Espirito Santo,Setembro,01/01/2006,87
2007,Espirito Santo,Setembro,01/01/2007,63
2008,Espirito Santo,Setembro,01/01/2008,78
2009,Espirito Santo,Setembro,01/01/2009,57
2010,Espirito Santo,Setembro,01/01/2010,53
2011,Espirito Santo,Setembro,01/01/2011,108
2012,Espirito Santo,Setembro,01/01/2012,48
2013,Espirito Santo,Setembro,01/01/2013,30
2014,Espirito Santo,Setembro,01/01/2014,61
2015,Espirito Santo,Setembro,01/01/2015,228
2016,Espirito Santo,Setembro,01/01/2016,128
2017,Espirito Santo,Setembro,01/01/2017,58
1998,Espirito Santo,Outubro,01/01/1998,20
1999,Espirito Santo,Outubro,01/01/1999,23
2000,Espirito Santo,Outubro,01/01/2000,88
2001,Espirito Santo,Outubro,01/01/2001,19
2002,Espirito Santo,Outubro,01/01/2002,113
2003,Espirito Santo,Outubro,01/01/2003,159
2004,Espirito Santo,Outubro,01/01/2004,48
2005,Espirito Santo,Outubro,01/01/2005,62
2006,Espirito Santo,Outubro,01/01/2006,10
2007,Espirito Santo,Outubro,01/01/2007,79
2008,Espirito Santo,Outubro,01/01/2008,100
2009,Espirito Santo,Outubro,01/01/2009,13
2010,Espirito Santo,Outubro,01/01/2010,32
2011,Espirito Santo,Outubro,01/01/2011,38
2012,Espirito Santo,Outubro,01/01/2012,62
2013,Espirito Santo,Outubro,01/01/2013,37
2014,Espirito Santo,Outubro,01/01/2014,89
2015,Espirito Santo,Outubro,01/01/2015,307
2016,Espirito Santo,Outubro,01/01/2016,58
2017,Espirito Santo,Outubro,01/01/2017,56
1998,Espirito Santo,Novembro,01/01/1998,4
1999,Espirito Santo,Novembro,01/01/1999,9
2000,Espirito Santo,Novembro,01/01/2000,3
2001,Espirito Santo,Novembro,01/01/2001,3
2002,Espirito Santo,Novembro,01/01/2002,22
2003,Espirito Santo,Novembro,01/01/2003,49
2004,Espirito Santo,Novembro,01/01/2004,42
2005,Espirito Santo,Novembro,01/01/2005,0
2006,Espirito Santo,Novembro,01/01/2006,0
2007,Espirito Santo,Novembro,01/01/2007,112
2008,Espirito Santo,Novembro,01/01/2008,3
2009,Espirito Santo,Novembro,01/01/2009,18
2010,Espirito Santo,Novembro,01/01/2010,3
2011,Espirito Santo,Novembro,01/01/2011,6
2012,Espirito Santo,Novembro,01/01/2012,7
2013,Espirito Santo,Novembro,01/01/2013,11
2014,Espirito Santo,Novembro,01/01/2014,20
2015,Espirito Santo,Novembro,01/01/2015,141
2016,Espirito Santo,Novembro,01/01/2016,8
2017,Espirito Santo,Novembro,01/01/2017,3
1998,Espirito Santo,Dezembro,01/01/1998,5
1999,Espirito Santo,Dezembro,01/01/1999,0
2000,Espirito Santo,Dezembro,01/01/2000,3
2001,Espirito Santo,Dezembro,01/01/2001,1
2002,Espirito Santo,Dezembro,01/01/2002,12
2003,Espirito Santo,Dezembro,01/01/2003,18
2004,Espirito Santo,Dezembro,01/01/2004,9
2005,Espirito Santo,Dezembro,01/01/2005,5
2006,Espirito Santo,Dezembro,01/01/2006,0
2007,Espirito Santo,Dezembro,01/01/2007,14
2008,Espirito Santo,Dezembro,01/01/2008,1
2009,Espirito Santo,Dezembro,01/01/2009,32
2010,Espirito Santo,Dezembro,01/01/2010,10
2011,Espirito Santo,Dezembro,01/01/2011,1
2012,Espirito Santo,Dezembro,01/01/2012,18
2013,Espirito Santo,Dezembro,01/01/2013,9
2014,Espirito Santo,Dezembro,01/01/2014,28
2015,Espirito Santo,Dezembro,01/01/2015,61
2016,Espirito Santo,Dezembro,01/01/2016,12
1998,Goias,Janeiro,01/01/1998,0
1999,Goias,Janeiro,01/01/1999,14
2000,Goias,Janeiro,01/01/2000,10
2001,Goias,Janeiro,01/01/2001,29
2002,Goias,Janeiro,01/01/2002,12
2003,Goias,Janeiro,01/01/2003,14
2004,Goias,Janeiro,01/01/2004,10
2005,Goias,Janeiro,01/01/2005,27
2006,Goias,Janeiro,01/01/2006,85
2007,Goias,Janeiro,01/01/2007,28
2008,Goias,Janeiro,01/01/2008,23
2009,Goias,Janeiro,01/01/2009,30
2010,Goias,Janeiro,01/01/2010,59
2011,Goias,Janeiro,01/01/2011,39
2012,Goias,Janeiro,01/01/2012,21
2013,Goias,Janeiro,01/01/2013,33
2014,Goias,Janeiro,01/01/2014,80
2015,Goias,Janeiro,01/01/2015,118
2016,Goias,Janeiro,01/01/2016,52
2017,Goias,Janeiro,01/01/2017,53
1998,Goias,Fevereiro,01/01/1998,0
1999,Goias,Fevereiro,01/01/1999,334
2000,Goias,Fevereiro,01/01/2000,11
2001,Goias,Fevereiro,01/01/2001,9
2002,Goias,Fevereiro,01/01/2002,9
2003,Goias,Fevereiro,01/01/2003,47
2004,Goias,Fevereiro,01/01/2004,11
2005,Goias,Fevereiro,01/01/2005,84
2006,Goias,Fevereiro,01/01/2006,21
2007,Goias,Fevereiro,01/01/2007,13
2008,Goias,Fevereiro,01/01/2008,25
2009,Goias,Fevereiro,01/01/2009,29
2010,Goias,Fevereiro,01/01/2010,86
2011,Goias,Fevereiro,01/01/2011,45
2012,Goias,Fevereiro,01/01/2012,37
2013,Goias,Fevereiro,01/01/2013,86
2014,Goias,Fevereiro,01/01/2014,44
2015,Goias,Fevereiro,01/01/2015,53
2016,Goias,Fevereiro,01/01/2016,117
2017,Goias,Fevereiro,01/01/2017,75
1998,Goias,Março,01/01/1998,0
1999,Goias,Março,01/01/1999,1
2000,Goias,Março,01/01/2000,4
2001,Goias,Março,01/01/2001,10
2002,Goias,Março,01/01/2002,48
2003,Goias,Março,01/01/2003,29
2004,Goias,Março,01/01/2004,36
2005,Goias,Março,01/01/2005,36
2006,Goias,Março,01/01/2006,29
2007,Goias,Março,01/01/2007,49
2008,Goias,Março,01/01/2008,20
2009,Goias,Março,01/01/2009,32
2010,Goias,Março,01/01/2010,65
2011,Goias,Março,01/01/2011,19
2012,Goias,Março,01/01/2012,57
2013,Goias,Março,01/01/2013,79
2014,Goias,Março,01/01/2014,80
2015,Goias,Março,01/01/2015,76
2016,Goias,Março,01/01/2016,136
2017,Goias,Março,01/01/2017,115
1998,Goias,Abril,01/01/1998,0
1999,Goias,Abril,01/01/1999,25
2000,Goias,Abril,01/01/2000,16
2001,Goias,Abril,01/01/2001,49
2002,Goias,Abril,01/01/2002,78
2003,Goias,Abril,01/01/2003,87
2004,Goias,Abril,01/01/2004,32
2005,Goias,Abril,01/01/2005,55
2006,Goias,Abril,01/01/2006,22
2007,Goias,Abril,01/01/2007,17
2008,Goias,Abril,01/01/2008,36
2009,Goias,Abril,01/01/2009,11
2010,Goias,Abril,01/01/2010,105
2011,Goias,Abril,01/01/2011,71
2012,Goias,Abril,01/01/2012,89
2013,Goias,Abril,01/01/2013,42
2014,Goias,Abril,01/01/2014,138
2015,Goias,Abril,01/01/2015,89
2016,Goias,Abril,01/01/2016,167
2017,Goias,Abril,01/01/2017,60
1998,Goias,Maio,01/01/1998,0
1999,Goias,Maio,01/01/1999,99
2000,Goias,Maio,01/01/2000,58
2001,Goias,Maio,01/01/2001,85
2002,Goias,Maio,01/01/2002,171
2003,Goias,Maio,01/01/2003,57
2004,Goias,Maio,01/01/2004,157
2005,Goias,Maio,01/01/2005,164
2006,Goias,Maio,01/01/2006,33
2007,Goias,Maio,01/01/2007,94
2008,Goias,Maio,01/01/2008,41
2009,Goias,Maio,01/01/2009,104
2010,Goias,Maio,01/01/2010,239
2011,Goias,Maio,01/01/2011,136
2012,Goias,Maio,01/01/2012,103
2013,Goias,Maio,01/01/2013,150
2014,Goias,Maio,01/01/2014,210
2015,Goias,Maio,01/01/2015,129
2016,Goias,Maio,01/01/2016,233
2017,Goias,Maio,01/01/2017,135
1998,Goias,Junho,01/01/1998,172
1999,Goias,Junho,01/01/1999,250
2000,Goias,Junho,01/01/2000,222
2001,Goias,Junho,01/01/2001,212
2002,Goias,Junho,01/01/2002,302
2003,Goias,Junho,01/01/2003,321
2004,Goias,Junho,01/01/2004,422
2005,Goias,Junho,01/01/2005,189
2006,Goias,Junho,01/01/2006,70
2007,Goias,Junho,01/01/2007,186
2008,Goias,Junho,01/01/2008,55
2009,Goias,Junho,01/01/2009,179
2010,Goias,Junho,01/01/2010,278
2011,Goias,Junho,01/01/2011,314
2012,Goias,Junho,01/01/2012,245
2013,Goias,Junho,01/01/2013,192
2014,Goias,Junho,01/01/2014,318
2015,Goias,Junho,01/01/2015,277
2016,Goias,Junho,01/01/2016,289
2017,Goias,Junho,01/01/2017,442
1998,Goias,Julho,01/01/1998,512
1999,Goias,Julho,01/01/1999,311
2000,Goias,Julho,01/01/2000,332
2001,Goias,Julho,01/01/2001,371
2002,Goias,Julho,01/01/2002,686
2003,Goias,Julho,01/01/2003,322
2004,Goias,Julho,01/01/2004,778
2005,Goias,Julho,01/01/2005,363
2006,Goias,Julho,01/01/2006,169
2007,Goias,Julho,01/01/2007,399
2008,Goias,Julho,01/01/2008,193
2009,Goias,Julho,01/01/2009,470
2010,Goias,Julho,01/01/2010,941
2011,Goias,Julho,01/01/2011,607
2012,Goias,Julho,01/01/2012,564
2013,Goias,Julho,01/01/2013,350
2014,Goias,Julho,01/01/2014,446
2015,Goias,Julho,01/01/2015,347
2016,Goias,Julho,01/01/2016,837
2017,Goias,Julho,01/01/2017,577
1998,Goias,Agosto,01/01/1998,2.218
1999,Goias,Agosto,01/01/1999,1.198
2000,Goias,Agosto,01/01/2000,925
2001,Goias,Agosto,01/01/2001,787
2002,Goias,Agosto,01/01/2002,1.428
2003,Goias,Agosto,01/01/2003,902
2004,Goias,Agosto,01/01/2004,1.498
2005,Goias,Agosto,01/01/2005,639
2006,Goias,Agosto,01/01/2006,588
2007,Goias,Agosto,01/01/2007,2.382
2008,Goias,Agosto,01/01/2008,568
2009,Goias,Agosto,01/01/2009,647
2010,Goias,Agosto,01/01/2010,2.914
2011,Goias,Agosto,01/01/2011,1.613
2012,Goias,Agosto,01/01/2012,912
2013,Goias,Agosto,01/01/2013,488
2014,Goias,Agosto,01/01/2014,1.255
2015,Goias,Agosto,01/01/2015,943
2016,Goias,Agosto,01/01/2016,1.032
2017,Goias,Agosto,01/01/2017,1.492
1998,Goias,Setembro,01/01/1998,2.867
1999,Goias,Setembro,01/01/1999,1.898
2000,Goias,Setembro,01/01/2000,1.293
2001,Goias,Setembro,01/01/2001,1.863
2002,Goias,Setembro,01/01/2002,3.52
2003,Goias,Setembro,01/01/2003,1.662
2004,Goias,Setembro,01/01/2004,2.965
2005,Goias,Setembro,01/01/2005,1.341
2006,Goias,Setembro,01/01/2006,1.463
2007,Goias,Setembro,01/01/2007,3.745
2008,Goias,Setembro,01/01/2008,1.255
2009,Goias,Setembro,01/01/2009,685
