year,state,month,date,number
2013,Acre,Julho,01/01/2013,54
2014,Acre,Julho,01/01/2014,60
2015,Acre,Julho,01/01/2015,109
2016,Acre,Julho,01/01/2016,533
2017,Acre,Julho,01/01/2017,457
1998,Acre,Agosto,01/01/1998,130
1999,Acre,Agosto,01/01/1999,63
2000,Acre,Agosto,01/01/2000,136
2001,Acre,Agosto,01/01/2001,396
2002,Acre,Agosto,01/01/2002,728
2003,Acre,Agosto,01/01/2003,1.976
2004,Acre,Agosto,01/01/2004,645
2005,Acre,Agosto,01/01/2005,4.198
2006,Acre,Agosto,01/01/2006,839
2007,Acre,Agosto,01/01/2007,960
2008,Acre,Agosto,01/01/2008,445
2009,Acre,Agosto,01/01/2009,194
2010,Acre,Agosto,01/01/2010,1.682
2011,Acre,Agosto,01/01/2011,425
2012,Acre,Agosto,01/01/2012,739
2013,Acre,Agosto,01/01/2013,679
2014,Acre,Agosto,01/01/2014,1.1
2015,Acre,Agosto,01/01/2015,1.397
2016,Acre,Agosto,01/01/2016,2.188
2017,Acre,Agosto,01/01/2017,1.493
1998,Acre,Setembro,01/01/1998,509
1999,Acre,Setembro,01/01/1999,209
2000,Acre,Setembro,01/01/2000,265
2001,Acre,Setembro,01/01/2001,290
2002,Acre,Setembro,01/01/2002,1.949
2003,Acre,Setembro,01/01/2003,3.942
2004,Acre,Setembro,01/01/2004,1.978
2005,Acre,Setembro,01/01/2005,4.253
2006,Acre,Setembro,01/01/2006,2.37
2007,Acre,Setembro,01/01/2007,2.08
2008,Acre,Setembro,01/01/2008,1.666
2009,Acre,Setembro,01/01/2009,1.265
2010,Acre,Setembro,01/01/2010,2.531
2011,Acre,Setembro,01/01/2011,1.204
2012,Acre,Setembro,01/01/2012,1.996
2013,Acre,Setembro,01/01/2013,2.136
2014,Acre,Setembro,01/01/2014,2.175
2015,Acre,Setembro,01/01/2015,2.928
2016,Acre,Setembro,01/01/2016,3.586
2017,Acre,Setembro,01/01/2017,3.429
1998,Acre,Outubro,01/01/1998,44
1999,Acre,Outubro,01/01/1999,60
2000,Acre,Outubro,01/01/2000,18
2001,Acre,Outubro,01/01/2001,137
2002,Acre,Outubro,01/01/2002,687
2003,Acre,Outubro,01/01/2003,740
2004,Acre,Outubro,01/01/2004,461
2005,Acre,Outubro,01/01/2005,547
2006,Acre,Outubro,01/01/2006,316
2007,Acre,Outubro,01/01/2007,203
2008,Acre,Outubro,01/01/2008,652
2009,Acre,Outubro,01/01/2009,565
2010,Acre,Outubro,01/01/2010,292
2011,Acre,Outubro,01/01/2011,97
2012,Acre,Outubro,01/01/2012,348
2013,Acre,Outubro,01/01/2013,258
2014,Acre,Outubro,01/01/2014,406
2015,Acre,Outubro,01/01/2015,905
2016,Acre,Outubro,01/01/2016,509
2017,Acre,Outubro,01/01/2017,1.508
1998,Acre,Novembro,01/01/1998,0
1999,Acre,Novembro,01/01/1999,0
2000,Acre,Novembro,01/01/2000,0
2001,Acre,Novembro,01/01/2001,1
2002,Acre,Novembro,01/01/2002,86
2003,Acre,Novembro,01/01/2003,15
2004,Acre,Novembro,01/01/2004,10
2005,Acre,Novembro,01/01/2005,14
2006,Acre,Novembro,01/01/2006,18
2007,Acre,Novembro,01/01/2007,7
2008,Acre,Novembro,01/01/2008,4
2009,Acre,Novembro,01/01/2009,33
2010,Acre,Novembro,01/01/2010,39
2011,Acre,Novembro,01/01/2011,74
2012,Acre,Novembro,01/01/2012,13
2013,Acre,Novembro,01/01/2013,79
2014,Acre,Novembro,01/01/2014,56
2015,Acre,Novembro,01/01/2015,115
2016,Acre,Novembro,01/01/2016,46
2017,Acre,Novembro,01/01/2017,98
1998,Acre,Dezembro,01/01/1998,7
1999,Acre,Dezembro,01/01/1999,0
2000,Acre,Dezembro,01/01/2000,0
2001,Acre,Dezembro,01/01/2001,0
2002,Acre,Dezembro,01/01/2002,1
2003,Acre,Dezembro,01/01/2003,1
2004,Acre,Dezembro,01/01/2004,7
2005,Acre,Dezembro,01/01/2005,2
2006,Acre,Dezembro,01/01/2006,0
2007,Acre,Dezembro,01/01/2007,0
2008,Acre,Dezembro,01/01/2008,0
2009,Acre,Dezembro,01/01/2009,1
2010,Acre,Dezembro,01/01/2010,0
2011,Acre,Dezembro,01/01/2011,4
2012,Acre,Dezembro,01/01/2012,1
